title;price;place a;place b;place c;size;lat;long
Lux 2.0 stan od 55m2 u ZepTerri, Blok 65;1.300,00;Beograd ;Opština Novi Beograd ;Blok 65;"55";44.8126665;20.3980309
Veselina Masleše 51 Lekino brdo 35m2 nov namešten;550,00;Beograd ;Opština Voždovac ;Lekino brdo ;"35";44.7891937;20.4947692
Stan u 37. bloku na Novom Beogradu, blizu Geneksa;670,00;Beograd ;Opština Novi Beograd ;Blok 37;"64";44.8202941;20.3992782
Izdaje se jedinstven 4.0 stan u Beogradu na vodi;4.500,00;Beograd ;Opština Savski venac ;Beograd na vodi ;"230";44.80488280000001;20.448043
Apartment in GENEX Tower - Novi Beograd;700,00;Beograd ;Opština Novi Beograd ;Blok 33;"42";44.8205858;20.4074632
Sakura, nov , neuseljavan stan, retko u ponudi;800,00;Beograd ;Opština Novi Beograd ;Blok 67a (A blok);"45";44.8061288;20.4015421
Sun City, lux, novogradnja, garaža, bašta, ID 9450;750,00;Beograd ;Opština Novi Beograd ;Blok 63;"57";44.805903;20.3823845
Exing Home 65, lux, novogradnja, ID 19610;1.000,00;Beograd ;Opština Novi Beograd ;Blok 65;"52";44.8126665;20.3980309
ZepTerra, novogradnja, garaža, ID 19829;1.100,00;Beograd ;Opština Novi Beograd ;Blok 65;"53";44.8126665;20.3980309
BW - Verde, luksuzno sređen, garaža, ID 19832;2.000,00;Beograd ;Opština Savski venac ;Beograd na vodi ;"83";44.80488280000001;20.448043
Hram, lux, novogradnja, garaža, ID 17215;2.500,00;Beograd ;Opština Vračar ;Hram svetog Save ;"85";44.7981382;20.4690468
Renoviran sa niskim režijama;400,00;Beograd ;Opština Palilula ;Karaburma ;"60";44.8172662;20.509558
Prazan stan u Mirijevu;300,00;Beograd ;Opština Zvezdara ;Mirijevo ;"43";44.7854051;20.5461547
Novo Izdavanje garsonjere u Zemunu;300,00;Beograd ;Opština Zemun ;Gornji grad ;"30";46.2961712;14.8062347
Nova Lux garsonjera;490,00;Beograd ;Opština Savski venac ;Sajam ;"22";null;null
Duplex 70m2, Kalvarija;800,00;Beograd ;Opština Zemun ;Kalvarija ;"70";54.4156509;23.2236949
Prelep lux stan na Bežanijskoj kosi;1.100,00;Beograd ;Opština Novi Beograd ;Bežanijska kosa 1;"62";44.82207529999999;20.3882486
Garsonjera na Dorcolu;390,00;Beograd ;Opština Stari grad ;25. maj;"29";null;null
Nov, uredan dvosoban u srcu Vozdovca, Kostolacka;590,00;Beograd ;Opština Voždovac ;Centar ;"52";34.8325353;-92.1873959
Zemun - Gornji Grad ID#51813;750,00;Beograd ;Opština Zemun ;Gornji grad ;"60";46.2961712;14.8062347
Dedinje Pink TV / Ambasador park - sve novo;1.300,00;Beograd ;Opština Savski venac ;Dedinje ;"60";44.77406879999999;20.4560195
Retko dostupan, Bogoslovija 4.0;990,00;Beograd ;Opština Palilula ;Bogoslovija ;"90";44.8151594;20.488473
Novogradnja Dimitrija Tucovića;500,00;Beograd ;Opština Zvezdara ;Dimitrija Tucovića ;"36";44.801971;20.4914278
Izdajemo stan na Zvezdari sa garazom;800,00;Beograd ;Opština Zvezdara ;Cvetkova pijaca ;"55";44.7929494;20.5037812
Stan za kancelarijski prostor;800,00;Beograd ;Opština Voždovac ;Trošarina ;"60";44.7612309;20.4827283
Blok 63, novogradnja, odličan, ID 19870;700,00;Beograd ;Opština Novi Beograd ;Blok 63;"61";44.805903;20.3823845
BW - Terra, neuseljavan, garaža, ID 19869;2.300,00;Beograd ;Opština Savski venac ;Beograd na vodi ;"88";44.80488280000001;20.448043
Izdajem stan na zvezdari mariborska ulica,vlasnik;1.000,00;Beograd ;Opština Zvezdara ;Dimitrija Tucovića ;"60";44.801971;20.4914278
Širi centar - Vozdovac ID#51841;750,00;Beograd ;Opština Voždovac ;Vojvode Stepe ;"75";44.7608581;20.4848359
Kalemegdan, 80m2, trosoban stan, namešten, terasa;1.300,00;Beograd ;Opština Stari grad ;Kalemegdan ;"80";44.8222662;20.4508992
Vojvode Šupljikca,novogradnja,useljiv ID#15911;600,00;Beograd ;Opština Vračar ;Kalenić pijaca ;"37";44.8001747;20.475769
Izdajem luksuzan Salonac kompletno renoviran;3.600,00;Beograd ;Opština Stari grad ;Knez Mihailova ;"115";44.8177356;20.4569894
Izdajem stan, dvosoban, Nova Galenika, Zemun;650,00;Beograd ;Opština Zemun ;Galenika ;"47";null;null
Izdajem stan sa terasom i parking mestom;1.000,00;Beograd ;Opština Zvezdara ;Mirijevo ;"56";44.7854051;20.5461547
The one Blok 65 Nov 3.0;1.600,00;Beograd ;Opština Novi Beograd ;Blok 65;"60";44.8126665;20.3980309
Blok 23,3-soban,opremljen,useljiv ID#15954;650,00;Beograd ;Opština Novi Beograd ;Blok 23;"71";44.8084235;20.4240856
Širi centar - Banovo Brdo ID#51819;400,00;Beograd ;Opština Čukarica ;Banovo brdo ;"36";44.7767729;20.4155629
Centar - Vracar ID#51820;1.200,00;Beograd ;Opština Vračar ;Kalenić pijaca ;"85";44.8001747;20.475769
Centar - Beograd Na Vodi BW ID#51823;1.600,00;Beograd ;Opština Savski venac ;Beograd na vodi ;"115";44.80488280000001;20.448043
Centar - Stari Grad ID#51821;1.100,00;Beograd ;Opština Stari grad ;Dorćol ;"140";44.8252158;20.460523
Novi Beograd - Yubc ID#51838;500,00;Beograd ;Opština Novi Beograd ;YUBC ;"42";null;null
Sun city, Lux 3.0 + parking space;1.150,00;Beograd ;Opština Novi Beograd ;Blok 63;"70";44.805903;20.3823845
Izdajem stan kod Đeram pijace;500,00;Beograd ;Opština Zvezdara ;Đeram pijaca ;"50";44.80133319999999;20.4872266
Blok 37,4-soban,namešten,useljiv ID#2489;900,00;Beograd ;Opština Novi Beograd ;Blok 37;"100";44.8202941;20.3992782
A blok, novogradnja, garaža, ID 19867;1.650,00;Beograd ;Opština Novi Beograd ;Blok 67a (A blok);"103";44.8061288;20.4015421
